,Names,Type,Extracted Value,Extracted Unit,Normalised value,Normalised units,doi,publisher,title,authors,filename,Correctness,Tag
0,NiFe2O4,Curie,883,K,883,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./papers2\curie_paper1.html,None,CDE
1,BaFe12O19,Curie,740,K,740,K,10.1039/c7dt01708a,Royal Society of Chemistry,Investigation into the structural features and microwave absorption of doped barium hexaferrites,"['S. V. Trukhanov', 'A. V. Trukhanov', 'V. G. Kostishyn', 'L. V. Panina', 'An. V. Trukhanov', 'V. A. Turchenko', 'D. I. Tishkevich', 'E. L. Trukhanova', 'O. S. Yakovenko', 'L. Yu. Matzui', 'S. V. Trukhanov', 'A. V. Trukhanov', 'V. G. Kostishyn', 'L. V. Panina', 'An. V. Trukhanov', 'V. A. Turchenko', 'D. I. Tishkevich', 'E. L. Trukhanova', 'O. S. Yakovenko', 'L. Yu. Matzui']",./papers2\curie_paper10.html,None,CDE
2,plumbene,Curie,300,K,300,K,10.1039/c9ra10337f,Royal Society of Chemistry,Magnetic properties of 3d transition metal (Sc–Ni) doped plumbene,"['Daniel Hashemi', 'Hideo Iizuka', 'Daniel Hashemi', 'Hideo Iizuka']",./papers2\curie_paper101.html,None,CDE
3,"Ni, [NH2(CH3)2][CrIIINiII(HCOO)6]",Curie,15.3,,,,10.1039/c7ra08695d,Royal Society of Chemistry,Study of the relationship between magnetic field and dielectric properties in two ferromagnetic complexes,"['Li Yang', 'Jing Li', 'Tian-Cheng Pu', 'Ming Kong', 'Jing Zhang', 'You Song', 'Li Yang', 'Jing Li', 'Tian-Cheng Pu', 'Ming Kong', 'Jing Zhang', 'You Song']",./papers2\curie_paper106.html,None,CDE
4,"Nb-doped lead zirconate titanate, Lead zirconate titanate, PZTN, lead zirconate titanate",Curie,∼38,°C,~311.0,K,10.1039/d1na00013f,Royal Society of Chemistry,Polarisation tuneable piezo-catalytic activity of Nb-doped PZT with low Curie temperature for efficient CO2 reduction and H2 generation,"['Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen', 'Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen']",./papers2\curie_paper11.html,None,CDE
5,"hydrogen, Hydrogen",Curie,∼39,°C,~312.0,K,10.1039/d1na00013f,Royal Society of Chemistry,Polarisation tuneable piezo-catalytic activity of Nb-doped PZT with low Curie temperature for efficient CO2 reduction and H2 generation,"['Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen', 'Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen']",./papers2\curie_paper11.html,None,CDE
6,"hydrogen, Hydrogen",Curie,100,°C,373.0,K,10.1039/d1na00013f,Royal Society of Chemistry,Polarisation tuneable piezo-catalytic activity of Nb-doped PZT with low Curie temperature for efficient CO2 reduction and H2 generation,"['Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen', 'Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen']",./papers2\curie_paper11.html,None,CDE
7,"hydrogen, Hydrogen",Curie,∼38,°C,~311.0,K,10.1039/d1na00013f,Royal Society of Chemistry,Polarisation tuneable piezo-catalytic activity of Nb-doped PZT with low Curie temperature for efficient CO2 reduction and H2 generation,"['Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen', 'Yan Zhang', 'Pham Thi Thuy Phuong', 'Nguyen Phuc Hoang Duy', 'Eleanor Roake', 'Hamideh Khanbareh', 'Margaret Hopkins', 'Xuefan Zhou', 'Dou Zhang', 'Kechao Zhou', 'Chris Bowen']",./papers2\curie_paper11.html,None,CDE
8,Belfast BT7 1NN,Curie,89,°C,362.0,K,10.1039/c5ce01890k,Royal Society of Chemistry,Evaluation of La1−xSrxMnO3 (0 ≤ x < 0.4) synthesised via a modified sol–gel method as mediators for magnetic fluid hyperthermia,"['K. McBride', 'J. Cook', 'S. Gray', 'S. Felton', 'L. Stella', 'D. Poulidi', 'K. McBride', 'J. Cook', 'S. Gray', 'S. Felton', 'L. Stella', 'D. Poulidi']",./papers2\curie_paper112.html,None,CDE
9,"germanene, Germanene",Curie,33,K,33,K,10.1039/c9ra06003k,Royal Society of Chemistry,Inherent mechanical properties of bilayer germanene coupled by covalent bonding,"['Mahmuda Raakib Arshee', 'Saqeeb Adnan', 'Mohammad Motalab', 'Pritom Bose', 'Mahmuda Raakib Arshee', 'Saqeeb Adnan', 'Mohammad Motalab', 'Pritom Bose']",./papers2\curie_paper113.html,None,CDE
10,Mo,Neel,40,K,40,K,10.1039/c6ra03923e,Royal Society of Chemistry,Sol gel and ceramic synthesis of Sr2FeMo1−xWxO6 (0 ≤ x ≤ 1) double perovskites series,"['M. Iranmanesh', 'M. Lingg', 'M. Stir', 'J. Hulliger', 'M. Iranmanesh', 'M. Lingg', 'M. Stir', 'J. Hulliger']",./papers2\curie_paper118.html,None,CDE
11,Mo,Neel,37–40,K,37–40,K,10.1039/c6ra03923e,Royal Society of Chemistry,Sol gel and ceramic synthesis of Sr2FeMo1−xWxO6 (0 ≤ x ≤ 1) double perovskites series,"['M. Iranmanesh', 'M. Lingg', 'M. Stir', 'J. Hulliger', 'M. Iranmanesh', 'M. Lingg', 'M. Stir', 'J. Hulliger']",./papers2\curie_paper118.html,None,CDE
12,sodium doped praseodymium manganites,Curie,115,K,115,K,10.1039/c9ra05414f,Royal Society of Chemistry,"Structural, magnetic, electrical and dielectric properties of Pr0.8Na0.2MnO3 manganite","['I. Ouni', 'H. Ben Khlifa', ""R. M'nassri"", 'Muaffaq M. Nofal', 'H. Rahmouni', 'W. Cheikhrouhou', 'N. Chniba-Boudjada', 'K. Khirouni', 'A. Cheikhrouhou', 'I. Ouni', 'H. Ben Khlifa', ""R. M'nassri"", 'Muaffaq M. Nofal', 'H. Rahmouni', 'W. Cheikhrouhou', 'N. Chniba-Boudjada', 'K. Khirouni', 'A. Cheikhrouhou']",./papers2\neel_paper218.html,None,CDE
13,C8RA00001H,Curie,304,K,304,K,10.1039/c8ra00001h,Royal Society of Chemistry,"Magnetocaloric study, critical behavior and spontaneous magnetization estimation in La0.6Ca0.3Sr0.1MnO3 perovskite","['M. Jeddi', 'H. Gharsallah', 'M. Bejar', 'M. Bekri', 'E. Dhahri', 'E. K. Hlil', 'M. Jeddi', 'H. Gharsallah', 'M. Bejar', 'M. Bekri', 'E. Dhahri', 'E. K. Hlil']",./papers2\neel_paper224.html,None,CDE
14,Tc,Curie,0.58±0.04,,,,10.1039/c8ra00001h,Royal Society of Chemistry,"Magnetocaloric study, critical behavior and spontaneous magnetization estimation in La0.6Ca0.3Sr0.1MnO3 perovskite","['M. Jeddi', 'H. Gharsallah', 'M. Bejar', 'M. Bekri', 'E. Dhahri', 'E. K. Hlil', 'M. Jeddi', 'H. Gharsallah', 'M. Bejar', 'M. Bekri', 'E. Dhahri', 'E. K. Hlil']",./papers2\neel_paper224.html,None,CDE
15,KF,Curie,100,,,,10.1039/d0ra10118d,Royal Society of Chemistry,"Impact of synthesis route on structural, magnetic, magnetocaloric and critical behavior of Nd0.6Sr0.4MnO3 manganite","['M. Jeddi', 'J. Massoudi', 'H. Gharsallah', 'Sameh I. Ahmed', 'E. Dhahri', 'E. K. Hlil', 'M. Jeddi', 'J. Massoudi', 'H. Gharsallah', 'Sameh I. Ahmed', 'E. Dhahri', 'E. K. Hlil']",./papers2\neel_paper227.html,None,CDE
